Артикул;pname;"prevprice";;;"curprice";;;cengroup;"ostatki";nds?;CURRENCY
0312;Форма для выпечки разъемная SIEMPRE 12x10 см с антипригарным покрытием Ксилан, углеродистая сталь;817,00;руб.;шт;572,00;руб.;шт;Акция -30%;50;N;RUB
0313;Форма для выпечки пиццы SIEMPRE 35,5х33x1,8 см с антипригарным покрытием Ксилан, углеродистая сталь;1386,00;руб.;шт;971,00;руб.;шт;Акция -30%;50;N;RUB
0314;Силиконовые формы для выпечки сдобы TWINKLE  6 шт на металлическом каркасе 28,5x18,5x3 см с антипригарным покрытием Ксилан, углеродистая сталь;1762,00;руб.;шт;1234,00;руб.;шт;Акция -30%;50;N;RUB
0315;Силиконовые формы для выпечки сдобы TWINKLE  6 шт на металлическом каркасе 28,5x19,5x3 см с антипригарным покрытием Ксилан, углеродистая сталь;1762,00;руб.;шт;1234,00;руб.;шт;Акция -30%;50;N;RUB
0316;Набор из кулинарных печатей-штампов AMOUR в керамической подставке. Материал: силикон, пластик.;;руб.;шт;511,00;руб.;шт;Новинки;50;N;RUB
0319;Набор для приготовления десертов AMOUR из 3 шт. Материал: нерж. сталь;;руб.;шт;511,00;руб.;шт;Новинки;50;N;RUB
0320;Форма для выпечки разъемная SIEMPRE 14х12см Цвет: серый, Материал: углеродистая сталь  хромированная, Покрытие: Xylan;966,00;руб.;шт;580,00;руб.;шт;Акция -40%;50;N;RUB
0321;Форма для выпечки разъемная SIEMPRE 16х12,5см Цвет: серый, Материал: углеродистая сталь  хромированная, Покрытие: Xylan;1024,00;руб.;шт;615,00;руб.;шт;Акция -40%;50;N;RUB
0322;Силиконовая форма для выпечки ECO 7x3см. Материал: силикон;557,00;руб.;шт;390,00;руб.;шт;Акция -30%;50;N;RUB
0323;Силиконовая форма для выпечки ECO 7x3см. Материал: силикон;751,00;руб.;шт;526,00;руб.;шт;Акция -30%;50;N;RUB
0324;Накладка на ручку. Материал: силикон. Цвет: красный. Размер: 10,5х9х10 см;457,00;руб.;шт;320,00;руб.;шт;Акция -30%;50;N;RUB
0326;Накладка на ручку. Материал: силикон. Цвет: зеленый. Размер: 10,5х9х10 см;457,00;руб.;шт;320,00;руб.;шт;Акция -30%;50;N;RUB
0327;Накладка на ручку. Материал: силикон. Цвет: фиолетовый. Размер: 10,5х9х10 см;457,00;руб.;шт;320,00;руб.;шт;Акция -30%;50;N;RUB
0336;0336 WERNER Коврик для сушки винных бокалов 39х19.6х0.4 см. Материал: силикон. Цвет: фиолетовый.;896,00;руб.;шт;628,00;руб.;шт;Акция -30%;50;N;RUB
